Generation,Max Fitness,Chosen Individual Loss,Avg Fitness,Avg Loss,Best Loss
1,7.572361979460457,0.13174225389957428,6.899942030133583,0.15131126507167306,0.13170358911156654
2,7.762507919633926,0.12830109521746635,6.858295406404127,0.1460851120091448,0.12830109521746635
3,7.762507919633926,0.12830109521746635,6.811770994857837,0.14721573867617263,0.12874950841069221
4,7.762507919633926,0.12830109521746635,6.737789613751394,0.14881678201035953,0.12923245877027512
5,7.762507919633926,0.12830109521746635,6.709412809763943,0.14948784093280415,0.13027378544211388
6,7.762507919633926,0.12830109521746635,6.736543856136064,0.14868367985759812,0.13155148178339005
7,7.762507919633926,0.12830109521746635,6.6320178646475,0.15085395091042228,0.13122213631868362
8,7.762507919633926,0.12830109521746635,6.722647174692315,0.14885755940055362,0.1311395764350891
9,7.762507919633926,0.12830109521746635,6.807776476991055,0.147341499827346,0.13006038963794708
10,7.762507919633926,0.12830109521746635,6.70989270038725,0.14962770909164538,0.1310284361243248
11,7.762507919633926,0.12830109521746635,6.747458075325656,0.14887105407459394,0.13198744878172874
12,7.762507919633926,0.12830109521746635,6.7221613988210835,0.14917302750390216,0.13040121644735336
13,7.762507919633926,0.12830109521746635,6.664333820356112,0.15043526454543582,0.13038776442408562
14,7.762507919633926,0.12830109521746635,6.653288619548358,0.1503827364170804,0.13311051949858665
15,7.762507919633926,0.12830109521746635,6.81349683968254,0.14690440729716603,0.13088783621788025
16,7.762507919633926,0.12830109521746635,6.6952280178452295,0.14991117238390203,0.13119541481137276
17,7.762507919633926,0.12830109521746635,6.673454018706405,0.15051208368065405,0.13225820660591125
18,7.762507919633926,0.12830109521746635,6.6929606494537985,0.1499318026234301,0.13023892417550087
19,7.762507919633926,0.12830109521746635,6.616039298472758,0.1513562322901046,0.1307600475847721
20,7.762507919633926,0.12830109521746635,6.627576755823551,0.15112439543008804,0.13017494603991508
21,7.762507919633926,0.12830109521746635,6.631797390523323,0.15115177844251906,0.1307658962905407
22,7.762507919633926,0.12830109521746635,6.665399091623068,0.15011135846072313,0.13268335163593292
23,7.762507919633926,0.12830109521746635,6.795075148580461,0.1473421975210005,0.13039740547537804
24,7.762507919633926,0.12830109521746635,6.699839693802996,0.14946680713673027,0.13071686401963234
25,7.762507919633926,0.12830109521746635,6.586685914160085,0.15202841550415877,0.13197512552142143
26,7.762507919633926,0.12830109521746635,6.732108821412174,0.14861910463291772,0.13272665813565254
27,7.762507919633926,0.12830109521746635,6.723249119580405,0.14951462830815995,0.1299101933836937
28,7.762507919633926,0.12830109521746635,6.6902950921020965,0.15032760598338568,0.12980587407946587
29,7.762507919633926,0.12830109521746635,6.650394586864586,0.1508002988584749,0.1331973299384117
30,7.762507919633926,0.12830109521746635,6.715940105333322,0.1493855525872537,0.12926054373383522
31,7.762507919633926,0.12830109521746635,6.643641934199204,0.1513768666024719,0.1290903352200985
32,7.762507919633926,0.12830109521746635,6.6528782356898954,0.150466294617069,0.1326146461069584
