Generation,Max Fitness,Chosen Individual Loss,Avg Fitness,Avg Loss,Best Loss
1,463.9414599724989,0.0021554443519562483,16.26197204247306,0.7393878987591976,0.0021554443519562483
2,463.9414599724989,0.0021554443519562483,20.504176964812377,0.4910781066202468,0.0051133893430233
3,1006.5470093085598,0.000993495574221015,33.64967313528708,0.6792934292414207,0.000993495574221015
4,1006.5470093085598,0.000993495574221015,32.00999058447319,14.443582241184473,0.0036754237953573465
5,1268.2654434981127,0.0007884784718044102,56.83828228981154,1.7363804559358775,0.0007884784718044102
6,1268.2654434981127,0.0007884784718044102,39.58098879423262,0.7130491251449044,0.003151504322886467
7,1268.2654434981127,0.0007884784718044102,44.313142002469725,0.8357461644930537,0.0013143188552930951
8,29697.949918325656,3.3672356948954985e-05,646.7186256790065,0.522286222282692,3.3672356948954985e-05
9,29697.949918325656,3.3672356948954985e-05,604.0077100090373,4.175637545813849,0.005170280113816261
10,29697.949918325656,3.3672356948954985e-05,656.1861331840969,26430.207801262277,0.0003730283642653376
11,29697.949918325656,3.3672356948954985e-05,867.2641336402488,1.4609612937522483,8.364883251488209e-05
12,29697.949918325656,3.3672356948954985e-05,682.9042040773977,0.5692027628989605,0.00028961169300600886
13,2980167.874865799,3.3555056688783225e-07,60263.92647849243,0.699267682057172,3.3555056688783225e-07
14,2980167.874865799,3.3555056688783225e-07,59663.503938542104,0.7877296576257415,0.00041319592855870724
15,2980167.874865799,3.3555056688783225e-07,60673.24480802653,0.6152563509368724,3.178877159371041e-05
16,2980167.874865799,3.3555056688783225e-07,59610.86193225699,0.7293428287708333,0.010104953311383724
17,113233395.29304583,8.830316922114889e-09,2349368.5706096725,0.6635801618777216,8.830316922114889e-09
18,113233395.29304583,8.830316922114889e-09,2264704.1057078694,0.9595437435592449,0.0006543923518620431
19,1000000000000.0,0.0,20002268287.381214,3846.382067691632,0.0
20,1000000000000.0,0.0,40000000059.96901,1.9366548060200757,0.0
21,1000000000000.0,0.0,20000000257.360485,0.6905616777519902,9.217595652444288e-05
22,1000000000000.0,0.0,20000000055.11021,3.4395244644274126,0.0004034733574371785
23,1000000000000.0,0.0,20000001930.885273,0.7650241221975805,1.0543269127083477e-05
24,1000000000000.0,0.0,20000001690.756176,197.39594165115994,1.1941408047277946e-05
25,1000000000000.0,0.0,20000000007.179985,2.8037069286789973,0.00819895789027214
26,1000000000000.0,0.0,20000000031.414608,115.26485152256839,0.0007328371284529567
27,1000000000000.0,0.0,20000032156.352,3.1430162556308767,6.225323545550054e-07
28,1000000000000.0,0.0,20000000011.994717,0.7918042135092297,0.0023715884890407324
29,1000000000000.0,0.0,20000000010.011444,5.762390998771832,0.0038426429964601994
30,1000000000000.0,0.0,20000000027.65719,0.5740409247643713,0.0008899166714400053
31,1000000000000.0,0.0,20000000029.19998,0.6232268105436839,0.0009853380033746362
32,1000000000000.0,0.0,20000000174.526134,399.2430778593826,0.000144723235280253
33,1000000000000.0,0.0,20000023143.2128,0.58374656711048,8.65361016622046e-07
34,1000000000000.0,0.0,20000000006.121395,28.05210052272875,0.012146239168941975
35,1000000000000.0,0.0,20000000045.172577,44.960035439575925,0.0004934573080390692
36,1000000000000.0,0.0,20004528835.53211,103.24616798862267,4.4151584610574446e-09
37,1000000000000.0,0.0,20000000008.40866,286353.02864380897,0.00375334732234478
38,1000000000000.0,0.0,20000000004.001575,13.945164805695436,0.012886847369372845
39,1000000000000.0,0.0,20000000025.220238,0.7357188285406702,0.0009412776562385261
40,1000000000000.0,0.0,20000000040.655758,0.6115559176836244,0.0005290306162351044
41,1000000000000.0,0.0,40000000098.72928,0.3278006108498723,0.0
42,1000000000000.0,0.0,20000566244.31971,0.35818920427319156,3.5321267688459557e-08
43,1000000000000.0,0.0,20000000115.744633,0.44590632065332364,0.0002732908178586513
44,1000000000000.0,0.0,20000039744.883686,71.80511935688166,5.209850542087224e-07
45,1000000000000.0,0.0,20000000035.42393,110.613135366836,0.0014182330342009664
46,1000000000000.0,0.0,20000010489.174576,0.3660087784638999,2.463576720401761e-06
47,1000000000000.0,0.0,40000647131.61409,17.32106519817508,0.0
48,1000000000000.0,0.0,40000004208.526825,0.614821573843417,0.0
49,1000000000000.0,0.0,40000000011.216774,0.7203199505064712,0.0
